Test ID,Stage,Test Name,Shippeo Event Sent,Place Type (Journey Stage),Situation Type,Data Source,Logward Field Being Tested,Value Read From,Test Type,Expected Result,Simple Explanation
X-08,Cross-Field,motGateOutEmpty + motEmptyReturn + motGateOutPod are completely independent fields,Multiple events,Multiple,Actual,Any,motGateOutEmpty + motEmptyReturn + motGateOutPod,situation.transport_mode,Positive,Each MOT field is independent — updating one does not affect others,Three different MOT fields for different stages of the journey
X-09,Cross-Field,transport_mode value of 'rail' instead of 'ocean' is stored as-is,container_gate_out_empty,Origin Depot,Actual,Any,motGateOutEmpty,situation.transport_mode,Edge Case,motGateOutEmpty = rail,System should store whatever transport_mode value is received without validation
X-10,Cross-Field,Event date in the future (year 2099) maps correctly,container_departed,Port of Loading,Actual,Any,actualDeparturePol,situation.date,Edge Case,actualDeparturePol = 2099 date,Future dates should be stored without any date validation rejecting them
X-11,Cross-Field,Event date in the past (year 2020) maps correctly,container_departed,Port of Loading,Actual,Any,actualDeparturePol,situation.date,Edge Case,actualDeparturePol = 2020 date,Past dates should be stored without any date validation rejecting them
X-12,Cross-Field,Event date with timezone offset (+02:00) is stored correctly,container_arrived,Port of Discharge,Actual,Any,actualArrivalPod,situation.date,Edge Case,actualArrivalPod = date stored in correct UTC format,Dates with timezone offsets should be handled and stored consistently
X-13,Cross-Field,Event with empty string situation.date stores null not empty string,container_arrived,Port of Discharge,Actual,Any,actualArrivalPod,situation.date,Edge Case,actualArrivalPod = null (not empty string),Empty string should be treated as no value and stored as null
N-01,API & Auth,Webhook with expired admin token is rejected,container_gate_out_empty,Any,Any,Any,N/A,—,Negative,HTTP 401 Unauthorized,An expired token should be rejected immediately
N-02,API & Auth,Webhook with wrong clientId header is rejected,container_gate_out_empty,Any,Any,Any,N/A,—,Negative,HTTP 401 or HTTP 403,Incorrect client ID should prevent access
N-03,API & Auth,Webhook with no Authorization header is rejected,container_gate_out_empty,Any,Any,Any,N/A,—,Negative,HTTP 401 Unauthorized,Missing auth header should be rejected
N-04,API & Auth,Webhook with empty body does not crash the system,—,—,—,—,N/A,—,Negative,HTTP 400 Bad Request — no crash,Empty payload should return a proper error not cause a server crash
N-05,API & Auth,Webhook with malformed JSON does not crash the system,—,—,—,—,N/A,—,Negative,HTTP 400 Bad Request — no crash,Invalid JSON should return a proper error not cause a server crash
N-06,API & Auth,Unknown event name does not crash or update fields,foo_event,Any,Actual,Any,N/A,—,Negative,HTTP 200 — no field updated,An unknown event name should be accepted and silently ignored
N-07,API & Auth,Unknown place_type does not crash or update fields,container_arrived,moon_base,Actual,Any,N/A,—,Negative,HTTP 200 — no field updated,An unknown place_type should be accepted and silently ignored
N-08,API & Auth,Situation type that is neither actual nor estimated does not trigger any mapping,container_arrived,Port of Discharge,confirmed,Any,N/A,—,Negative,HTTP 200 — no field updated,Only 'actual' and 'estimated' are valid situation types for mapping
N-09,API & Auth,Null situation.date does not write to any date field,container_arrived,Port of Discharge,Actual,Any,actualArrivalPod,—,Negative,actualArrivalPod NOT updated,Null date should not overwrite an existing date value
N-10,API & Auth,Invalid situation.date string does not crash and does not update date field,container_arrived,Port of Discharge,Actual,Any,actualArrivalPod,—,Negative,actualArrivalPod NOT updated — no crash,Garbage date values should be rejected gracefully
N-11,API & Auth,POST to wrong endpoint path returns 404,container_arrived,—,—,—,N/A,—,Negative,HTTP 404 Not Found,Wrong endpoint path should return clear error
N-12,API & Auth,Webhook for a shipment OTU that does not exist is handled gracefully,container_arrived,Port of Discharge,Actual,Any,N/A,—,Negative,HTTP 404 or 400 — no crash,Sending events for non-existent shipment should fail gracefully
N-13,API & Auth,container_gate_out_empty at transhipment place_type triggers no pre-carriage mapping,container_gate_out_empty,Transhipment Port,Actual,Any,actualGateOutEmptyDepot,—,Negative,actualGateOutEmptyDepot NOT updated,Transhipment events follow their own TSP logic not pre-carriage
N-14,API & Auth,container_arrived at origin_inland_location does not trigger POL gate-in,container_arrived,Origin Depot,Actual,Any,actualGateInPol,—,Negative,actualGateInPol NOT updated,Wrong place_type — arrival at origin depot doesn't map to POL gate-in
N-15,API & Auth,container_departed at destination_inland_location triggers no mapping,container_departed,Destination Depot,Actual,Any,N/A,—,Negative,No field updated — no crash,Departure event from delivery location has no mapping defined
N-16,API & Auth,eta_event at origin_inland_location triggers no mapping,eta_event,Origin Depot,Estimated,External (Carrier),N/A,—,Negative,No field updated — no crash,ETA events only apply to Port of Discharge
